CODGEO,LIBGEO,PMUN21,DENS,NB_Établissement_sante_court_sejour,NB_Établissement_sante_moyen_sejour,NB_Établissement_sante_long_sejour,NB_Établissement_psychiatrique,NB_Centre_lutte_cancer,NB_Urgences,NB_Maternite,NB_Centre_de_sante,NB_Structures_psychiatriques_en_ambulatoire,NB_Centre_medecine_preventive,NB_Dialyse,NB_Hospitalisation_a_domicile,NB_Maison_de_sante_pluridisciplinaire,NB_Laboratoire_d'analyses_et_de_biologie_medicale,NB_Ambulance,NB_Transfusion_sanguine,NB_Établissement_thermal,NB_Pharmacie,NB_Établissement_sante_court_sejour_par_1000h,NB_Établissement_sante_moyen_sejour_par_1000h,NB_Établissement_sante_long_sejour_par_1000h,NB_Établissement_psychiatrique_par_1000h,NB_Centre_lutte_cancer_par_1000h,NB_Urgences_par_1000h,NB_Maternite_par_1000h,NB_Centre_de_sante_par_1000h,NB_Structures_psychiatriques_en_ambulatoire_par_1000h,NB_Centre_medecine_preventive_par_1000h,NB_Dialyse_par_1000h,NB_Hospitalisation_a_domicile_par_1000h,NB_Maison_de_sante_pluridisciplinaire_par_1000h,NB_Laboratoire_d'analyses_et_de_biologie_medicale_par_1000h,NB_Ambulance_par_1000h,NB_Transfusion_sanguine_par_1000h,NB_Établissement_thermal_par_1000h,NB_Pharmacie_par_1000h,NB_EQUIP_SANTE_TOTAL,NB_EQUIP_SANTE_PAR_1000H,ECART_EQUIP_SANTE,DIVERSITE_EQUIP_SANTE
01004,Ambérieu-en-Bugey,14854,2,1,0,0,1,0,1,1,0,4,0,0,1,1,2,0,0,0,4,0.06732193348592971,0.0,0.0,0.06732193348592971,0.0,0.06732193348592971,0.06732193348592971,0.0,0.26928773394371885,0.0,0.0,0.06732193348592971,0.06732193348592971,0.13464386697185943,0.0,0.0,0.0,0.26928773394371885,16,1.0771509357748754,4,9
01033,Valserhône,16295,2,0,0,0,1,0,0,0,0,3,0,0,0,0,1,1,0,0,6,0.0,0.0,0.0,0.0613685179502915,0.0,0.0,0.0,0.0,0.18410555385087451,0.0,0.0,0.0,0.0,0.0613685179502915,0.0613685179502915,0.0,0.0,0.36821110770174903,12,0.7364222154034981,6,5
01143,Divonne-les-Bains,10137,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.09864851533984413,0.19729703067968826,3,0.29594554601953244,2,2
01160,Ferney-Voltaire,10920,2,0,0,0,0,0,0,0,2,4,0,0,0,0,1,0,0,0,3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.18315018315018314,0.3663003663003663,0.0,0.0,0.0,0.0,0.09157509157509157,0.0,0.0,0.0,0.27472527472527475,10,0.9157509157509157,4,4
01173,Gex,13078,2,0,1,1,0,0,0,0,1,0,0,0,0,0,1,1,0,0,3,0.0,0.0764642911760208,0.0764642911760208,0.0,0.0,0.0,0.0,0.0764642911760208,0.0,0.0,0.0,0.0,0.0,0.0764642911760208,0.0764642911760208,0.0,0.0,0.2293928735280624,8,0.6117143294081664,3,6
01249,Miribel,10225,4,0,1,0,0,0,0,0,0,0,0,0,0,1,1,5,1,0,3,0.0,0.097799511002445,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.097799511002445,0.097799511002445,0.4889975550122249,0.097799511002445,0.0,0.293398533007335,12,1.17359413202934,5,6
01354,Saint-Genis-Pouilly,14558,2,0,0,0,0,0,0,0,0,0,0,0,0,0,1,3,0,0,3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.06869075422448138,0.20607226267344417,0.0,0.0,0.20607226267344417,7,0.4808352795713697,3,3
02168,Château-Thierry,15204,2,1,0,0,0,0,1,1,0,3,0,1,0,1,2,3,0,0,6,0.06577216521967903,0.0,0.0,0.0,0.0,0.06577216521967903,0.06577216521967903,0.0,0.19731649565903708,0.0,0.06577216521967903,0.0,0.06577216521967903,0.13154433043935806,0.19731649565903708,0.0,0.0,0.39463299131807417,19,1.2496711391739015,6,9
02173,Chauny,11496,2,1,1,1,2,0,1,1,2,2,0,1,1,0,2,1,0,0,6,0.08698677800974253,0.08698677800974253,0.08698677800974253,0.17397355601948505,0.0,0.08698677800974253,0.08698677800974253,0.17397355601948505,0.17397355601948505,0.0,0.08698677800974253,0.08698677800974253,0.0,0.17397355601948505,0.08698677800974253,0.0,0.0,0.521920668058455,22,1.9137091162143354,6,13
02738,Tergnier,13431,2,0,0,0,1,0,0,0,2,1,0,0,0,0,1,3,0,0,6,0.0,0.0,0.0,0.07445461990916535,0.0,0.0,0.0,0.1489092398183307,0.07445461990916535,0.0,0.0,0.0,0.0,0.07445461990916535,0.2233638597274961,0.0,0.0,0.4467277194549922,14,1.0423646787283152,6,6
02810,Villers-Cotterêts,10454,2,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.09565716472163766,0.09565716472163766,0.09565716472163766,0.0,0.0,0.3826286588865506,7,0.6696001530514636,4,4
03095,Cusset,12909,2,0,0,0,1,0,0,0,1,3,0,0,0,0,1,0,0,0,5,0.0,0.0,0.0,0.07746533426291735,0.0,0.0,0.0,0.07746533426291735,0.23239600278875203,0.0,0.0,0.0,0.0,0.07746533426291735,0.0,0.0,0.0,0.3873266713145867,11,0.8521186768920908,5,5
03190,Moulins,19343,2,2,1,1,2,0,1,1,1,2,1,2,1,0,3,3,1,0,11,0.10339657757328233,0.051698288786641164,0.051698288786641164,0.10339657757328233,0.0,0.051698288786641164,0.051698288786641164,0.051698288786641164,0.10339657757328233,0.051698288786641164,0.10339657757328233,0.051698288786641164,0.0,0.15509486635992348,0.15509486635992348,0.051698288786641164,0.0,0.5686811766530527,33,1.7060435299591583,11,15
03321,Yzeure,12598,2,0,0,0,3,0,0,0,0,3,0,0,0,0,0,1,0,0,5,0.0,0.0,0.0,0.2381330369899984,0.0,0.0,0.0,0.0,0.2381330369899984,0.0,0.0,0.0,0.0,0.0,0.07937767899666615,0.0,0.0,0.3968883949833307,12,0.9525321479599936,5,4
04070,Digne-les-Bains,17192,3,1,1,0,3,0,1,1,1,1,0,1,0,1,2,0,0,0,7,0.05816658911121452,0.05816658911121452,0.0,0.17449976733364356,0.0,0.05816658911121452,0.05816658911121452,0.05816658911121452,0.05816658911121452,0.0,0.05816658911121452,0.0,0.05816658911121452,0.11633317822242904,0.0,0.0,0.0,0.40716612377850164,20,1.1633317822242903,7,11
