code équipement;regroupement_1;regroupement_2;regroupement_3;libellé équipement;gamme;domaine_code;domaine_libellé;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
A301;A301;;;Réparation automobile et de matériel agricole;proximité;A;Services aux particuliers;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
A401;A401;;;Maçon;proximité;A;Services aux particuliers;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
A402;A402;;;Plâtrier, peintre;proximité;A;Services aux particuliers;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
A403;A403;;;Menuisier, charpentier, serrurier;proximité;A;Services aux particuliers;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
A404;A404;;;Plombier, couvreur, chauffagiste;proximité;A;Services aux particuliers;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
A405;A405;;;Électricien;proximité;A;Services aux particuliers;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
A406;A406;;;Entreprise générale du bâtiment;proximité;A;Services aux particuliers;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
A501;A501;;;Coiffure;proximité;A;Services aux particuliers;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
A504;A504;;;Restaurant, restaurant rapide;proximité;A;Services aux particuliers;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
A505;A505;;;Agence immobilière;proximité;A;Services aux particuliers;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
A507;A507;;;Institut de beauté, onglerie;proximité;A;Services aux particuliers;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
AR03;A206;A207;A208;Bureau de poste, relais poste, agence postale;proximité;A;Services aux particuliers;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
B203;B203;;;Boulangerie;proximité;B;Commerces;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
B204;B204;;;Boucherie, charcuterie;proximité;B;Commerces;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
B312;B312;;;Fleuriste, jardinerie, animalerie;proximité;B;Commerces;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
