REG;Région;DEP;CODARR;CODCAN;CODCOM;COM;Commune;PMUN;PCAP;PTOT;D1_Etablissements_de_sante_humaine;D2_Equipements_medico_paramedicaux;D3_Structures_de_sante_publique;D4_Actions_sociales;D5_Hebergements_sociaux;D6_Equipements_educatifs_sportifs;D7_Autres_equipements;DENS;nb_equipements_total;D1_Etablissements_de_sante_humaine_1000;D2_Equipements_medico_paramedicaux_1000;D3_Structures_de_sante_publique_1000;D4_Actions_sociales_1000;D5_Hebergements_sociaux_1000;D6_Equipements_educatifs_sportifs_1000;D7_Autres_equipements_1000
84;Auvergne-Rhône-Alpes;1;1;1;4;1004;Ambérieu-en-Bugey;14854;386;15240;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0;0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
84;Auvergne-Rhône-Alpes;1;4;3;33;1033;Valserhône;16295;316;16611;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0;0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
84;Auvergne-Rhône-Alpes;1;3;9;143;1143;Divonne-les-Bains;10137;216;10353;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0;0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
84;Auvergne-Rhône-Alpes;1;3;19;160;1160;Ferney-Voltaire;10920;173;11093;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0;0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
84;Auvergne-Rhône-Alpes;1;3;9;173;1173;Gex;13078;313;13391;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0;0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
84;Auvergne-Rhône-Alpes;1;2;13;249;1249;Miribel;10225;150;10375;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0;0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
84;Auvergne-Rhône-Alpes;1;3;19;354;1354;Saint-Genis-Pouilly;14558;206;14764;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0;0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
32;Hauts-de-France;2;1;2;168;2168;Château-Thierry;15204;309;15513;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0;0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
32;Hauts-de-France;2;2;3;173;2173;Chauny;11496;403;11899;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0;0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
32;Hauts-de-France;2;2;18;738;2738;Tergnier;13431;215;13646;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0;0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
